plane,car,bird,cat,deer,dog,frog,horse,ship,truck,total
88.88888888888889,84.21052631578948,80.0,76.0,80.0,80.0,80.0,84.61538461538461,80.0,70.0,80.625,
86.66666666666667,75.0,62.5,92.85714285714286,90.0,84.21052631578948,82.3529411764706,78.57142857142857,100.0,96.0,85.0,
83.33333333333333,83.33333333333333,75.0,66.66666666666667,87.5,83.33333333333333,88.23529411764706,73.33333333333333,94.44444444444444,94.44444444444444,83.75,
58.333333333333336,75.0,63.63636363636363,80.0,75.0,42.10526315789474,94.11764705882354,85.0,84.61538461538461,95.23809523809524,76.25,
72.22222222222223,93.75,86.66666666666667,73.33333333333333,92.85714285714286,85.0,90.9090909090909,93.75,100.0,100.0,88.125,
78.94736842105263,82.3529411764706,92.3076923076923,53.333333333333336,81.25,70.58823529411765,78.57142857142857,70.58823529411765,100.0,88.88888888888889,79.375,
94.73684210526316,100.0,66.66666666666667,57.142857142857146,64.70588235294117,62.5,100.0,85.0,87.5,87.5,81.25,
84.61538461538461,92.3076923076923,69.23076923076923,70.83333333333333,87.5,78.57142857142857,84.61538461538461,80.95238095238095,92.3076923076923,93.33333333333333,81.25,
78.57142857142857,84.61538461538461,66.66666666666667,64.70588235294117,86.66666666666667,70.58823529411765,100.0,72.72727272727273,100.0,89.47368421052632,80.625,
82.3529411764706,81.81818181818181,69.23076923076923,70.58823529411765,73.6842105263158,90.47619047619048,90.0,80.0,92.85714285714286,100.0,83.125,
91.66666666666667,88.88888888888889,37.5,76.92307692307692,90.47619047619048,70.0,100.0,100.0,100.0,90.0,83.75,
84.61538461538461,100.0,76.92307692307692,84.21052631578948,87.5,62.5,88.23529411764706,85.71428571428571,95.0,100.0,85.625,
86.66666666666667,100.0,88.23529411764706,63.63636363636363,77.77777777777777,72.72727272727273,100.0,78.57142857142857,92.85714285714286,94.44444444444444,85.0,
93.75,92.3076923076923,83.33333333333333,66.66666666666667,90.0,66.66666666666667,90.47619047619048,100.0,100.0,93.75,87.5,
90.9090909090909,87.5,66.66666666666667,33.333333333333336,60.0,45.833333333333336,54.54545454545455,52.94117647058823,85.0,63.63636363636363,66.25,
66.66666666666667,87.5,56.25,52.94117647058823,57.89473684210526,57.142857142857146,80.0,93.33333333333333,93.75,71.42857142857143,71.25,
85.71428571428571,87.5,86.66666666666667,66.66666666666667,82.3529411764706,52.94117647058823,94.73684210526316,78.57142857142857,87.5,64.28571428571429,78.75,
88.23529411764706,88.88888888888889,57.89473684210526,76.92307692307692,63.1578947368421,56.25,89.47368421052632,25.0,100.0,95.23809523809524,74.375,
62.5,100.0,76.92307692307692,46.15384615384615,94.44444444444444,66.66666666666667,77.77777777777777,93.75,92.3076923076923,83.33333333333333,80.0,
86.66666666666667,100.0,66.66666666666667,66.66666666666667,75.0,72.72727272727273,90.0,87.5,71.42857142857143,91.30434782608695,81.875,
100.0,100.0,68.42105263157895,66.66666666666667,84.0,50.0,90.0,62.5,100.0,90.47619047619048,78.75,
56.25,87.5,65.0,40.74074074074074,33.333333333333336,60.0,84.21052631578948,66.66666666666667,85.71428571428571,70.58823529411765,64.375,
92.85714285714286,94.44444444444444,78.94736842105263,55.55555555555556,60.0,55.55555555555556,100.0,77.77777777777777,100.0,89.47368421052632,81.25,
88.88888888888889,75.0,85.71428571428571,58.8235294117647,62.5,56.25,95.65217391304348,87.5,64.28571428571429,93.75,77.5,
86.36363636363636,84.21052631578948,86.66666666666667,90.9090909090909,62.5,35.294117647058826,84.21052631578948,75.0,78.94736842105263,92.85714285714286,77.5,
83.33333333333333,78.57142857142857,76.19047619047619,64.70588235294117,68.75,65.0,84.61538461538461,93.33333333333333,100.0,84.21052631578948,78.75,
75.0,81.25,71.42857142857143,73.33333333333333,86.66666666666667,65.21739130434783,90.0,100.0,100.0,94.11764705882354,83.125,
92.85714285714286,71.42857142857143,70.58823529411765,70.58823529411765,78.94736842105263,92.85714285714286,94.44444444444444,77.77777777777777,87.5,100.0,83.125,
80.0,86.66666666666667,68.75,73.6842105263158,68.42105263157895,92.85714285714286,83.33333333333333,83.33333333333333,92.0,84.61538461538461,81.25,
84.61538461538461,72.72727272727273,37.5,16.666666666666668,33.333333333333336,37.5,72.0,61.53846153846154,87.5,46.666666666666664,55.0,
60.0,90.0,58.333333333333336,53.84615384615385,69.23076923076923,56.52173913043478,100.0,77.77777777777777,86.95652173913044,100.0,75.0,
76.47058823529412,85.71428571428571,63.63636363636363,42.10526315789474,78.94736842105263,94.44444444444444,100.0,87.5,94.44444444444444,100.0,81.875,
86.66666666666667,73.91304347826087,76.92307692307692,57.142857142857146,68.75,76.47058823529412,90.0,68.75,90.0,100.0,78.75,
76.47058823529412,93.75,66.66666666666667,43.75,63.1578947368421,42.857142857142854,88.88888888888889,91.66666666666667,100.0,85.71428571428571,73.75,
56.25,68.75,55.55555555555556,52.38095238095238,29.41176470588235,57.142857142857146,82.3529411764706,66.66666666666667,73.6842105263158,78.94736842105263,62.5,
85.71428571428571,86.66666666666667,69.23076923076923,87.5,77.27272727272727,88.23529411764706,78.57142857142857,66.66666666666667,69.23076923076923,85.71428571428571,80.0,
81.25,81.81818181818181,61.111111111111114,78.57142857142857,78.94736842105263,66.66666666666667,91.66666666666667,93.33333333333333,94.44444444444444,92.0,82.5,
88.88888888888889,85.0,68.42105263157895,61.53846153846154,60.0,77.77777777777777,86.66666666666667,94.11764705882354,94.11764705882354,88.23529411764706,80.625,
95.0,86.66666666666667,66.66666666666667,33.333333333333336,84.61538461538461,88.88888888888889,87.5,84.61538461538461,90.0,95.23809523809524,85.0,
100.0,91.30434782608695,77.77777777777777,45.0,78.57142857142857,75.0,80.0,92.3076923076923,100.0,85.0,81.875,
94.44444444444444,91.66666666666667,61.111111111111114,75.0,85.0,64.70588235294117,88.23529411764706,90.0,81.25,92.85714285714286,82.5,
87.5,94.44444444444444,90.0,70.58823529411765,66.66666666666667,77.77777777777777,62.5,66.66666666666667,93.75,87.5,79.375,
100.0,94.44444444444444,53.84615384615385,57.142857142857146,84.61538461538461,60.0,84.61538461538461,92.85714285714286,90.9090909090909,75.0,80.625,
65.0,95.0,33.333333333333336,26.666666666666668,55.55555555555556,70.0,64.70588235294117,61.53846153846154,92.3076923076923,44.44444444444444,62.5,
55.55555555555556,100.0,55.55555555555556,41.1764705882353,75.0,77.27272727272727,50.0,84.21052631578948,94.73684210526316,81.25,74.375,
69.23076923076923,94.11764705882354,80.0,53.333333333333336,50.0,52.94117647058823,66.66666666666667,77.77777777777777,85.0,71.42857142857143,71.25,
85.71428571428571,100.0,58.333333333333336,72.72727272727273,63.63636363636363,70.0,60.0,78.57142857142857,94.44444444444444,80.0,77.5,
87.5,100.0,61.111111111111114,47.61904761904762,83.33333333333333,77.77777777777777,88.88888888888889,93.75,93.75,87.5,80.625,
88.23529411764706,90.9090909090909,68.75,75.0,66.66666666666667,77.77777777777777,66.66666666666667,84.21052631578948,86.36363636363636,93.75,80.0,
88.88888888888889,90.0,64.70588235294117,66.66666666666667,100.0,68.75,81.81818181818181,80.0,86.66666666666667,85.0,80.0,
100.0,94.11764705882354,63.1578947368421,35.714285714285715,63.63636363636363,47.05882352941177,86.66666666666667,92.85714285714286,58.333333333333336,66.66666666666667,71.25,
78.26086956521739,88.88888888888889,90.9090909090909,60.0,92.85714285714286,46.666666666666664,61.53846153846154,94.44444444444444,76.47058823529412,100.0,78.125,
81.81818181818181,90.9090909090909,58.333333333333336,71.42857142857143,84.61538461538461,64.28571428571429,100.0,80.0,88.46153846153847,85.71428571428571,82.5,
87.5,95.45454545454545,86.66666666666667,84.61538461538461,78.94736842105263,77.77777777777777,77.77777777777777,100.0,86.66666666666667,81.25,85.0,
93.33333333333333,92.85714285714286,78.94736842105263,82.3529411764706,93.75,69.23076923076923,81.81818181818181,88.23529411764706,72.72727272727273,93.75,85.0,
77.77777777777777,86.66666666666667,83.33333333333333,90.0,75.0,100.0,94.44444444444444,86.66666666666667,100.0,85.0,88.125,
72.22222222222223,100.0,92.85714285714286,61.111111111111114,86.66666666666667,78.57142857142857,92.0,80.0,86.66666666666667,84.61538461538461,83.125,
76.92307692307692,100.0,65.0,80.0,95.0,78.57142857142857,88.23529411764706,100.0,100.0,84.21052631578948,86.25,
75.0,92.85714285714286,92.85714285714286,50.0,45.45454545454545,35.294117647058826,66.66666666666667,73.6842105263158,64.28571428571429,75.0,67.5,
77.77777777777777,95.45454545454545,69.23076923076923,46.666666666666664,78.57142857142857,52.17391304347826,84.61538461538461,81.81818181818181,83.33333333333333,100.0,76.875,
93.75,93.33333333333333,84.21052631578948,55.55555555555556,85.71428571428571,53.333333333333336,80.0,100.0,85.71428571428571,100.0,83.75,
91.66666666666667,100.0,81.81818181818181,61.111111111111114,88.88888888888889,90.9090909090909,90.0,75.0,94.73684210526316,94.11764705882354,86.25,
100.0,100.0,81.25,73.33333333333333,94.11764705882354,86.66666666666667,90.9090909090909,100.0,85.71428571428571,90.47619047619048,90.625,
80.0,93.75,64.70588235294117,90.47619047619048,92.3076923076923,70.0,90.0,76.92307692307692,91.66666666666667,100.0,84.375,
93.75,92.3076923076923,84.21052631578948,71.42857142857143,77.77777777777777,66.66666666666667,100.0,86.66666666666667,86.36363636363636,87.5,85.0,
64.70588235294117,95.0,64.28571428571429,50.0,70.58823529411765,70.0,80.0,100.0,87.5,90.0,79.375,
76.92307692307692,100.0,80.0,57.142857142857146,87.5,50.0,94.11764705882354,95.45454545454545,81.25,86.66666666666667,80.0,
87.5,90.47619047619048,61.53846153846154,60.0,100.0,50.0,100.0,94.11764705882354,86.66666666666667,82.3529411764706,80.625,
92.3076923076923,92.85714285714286,87.5,60.0,87.5,78.57142857142857,77.77777777777777,93.75,100.0,92.3076923076923,85.625,
90.0,88.23529411764706,53.84615384615385,75.0,69.23076923076923,77.77777777777777,94.11764705882354,80.0,100.0,94.44444444444444,83.125,
92.3076923076923,94.11764705882354,61.53846153846154,72.22222222222223,73.91304347826087,83.33333333333333,80.0,100.0,94.73684210526316,100.0,84.375,
78.57142857142857,100.0,85.0,20.0,46.15384615384615,47.05882352941177,88.88888888888889,82.3529411764706,95.0,92.85714285714286,76.875,
68.75,90.0,73.33333333333333,59.09090909090909,83.33333333333333,31.25,88.23529411764706,88.88888888888889,87.5,88.23529411764706,75.0,
88.88888888888889,100.0,73.33333333333333,61.53846153846154,86.66666666666667,52.94117647058823,88.23529411764706,90.9090909090909,84.61538461538461,85.71428571428571,81.875,
85.0,86.95652173913044,75.0,72.72727272727273,73.6842105263158,82.3529411764706,100.0,83.33333333333333,90.0,90.47619047619048,85.0,
93.75,92.85714285714286,71.42857142857143,92.3076923076923,73.91304347826087,70.0,84.61538461538461,100.0,100.0,86.95652173913044,86.875,
91.66666666666667,93.75,66.66666666666667,90.0,94.11764705882354,72.22222222222223,88.88888888888889,91.66666666666667,96.15384615384616,87.5,87.5,
91.66666666666667,84.61538461538461,55.55555555555556,41.1764705882353,86.66666666666667,70.58823529411765,76.47058823529412,70.0,88.88888888888889,90.0,75.625,
91.66666666666667,100.0,66.66666666666667,46.666666666666664,80.0,41.666666666666664,100.0,90.0,84.61538461538461,80.0,78.125,
85.71428571428571,94.73684210526316,100.0,86.66666666666667,91.66666666666667,75.0,84.61538461538461,86.66666666666667,75.0,100.0,86.25,
92.3076923076923,83.33333333333333,80.0,68.18181818181819,75.0,73.6842105263158,92.85714285714286,87.5,90.9090909090909,94.73684210526316,83.125,
77.77777777777777,96.0,60.0,70.58823529411765,83.33333333333333,73.33333333333333,93.75,76.47058823529412,100.0,85.71428571428571,82.5,
88.88888888888889,88.23529411764706,65.21739130434783,88.88888888888889,84.61538461538461,78.57142857142857,90.0,84.0,90.0,100.0,84.375,
38.095238095238095,85.71428571428571,21.73913043478261,40.0,30.76923076923077,29.41176470588235,90.0,47.61904761904762,76.47058823529412,50.0,48.125,
52.94117647058823,86.95652173913044,61.53846153846154,50.0,38.46153846153846,64.70588235294117,78.94736842105263,88.23529411764706,77.77777777777777,66.66666666666667,68.125,
82.3529411764706,100.0,58.8235294117647,40.0,66.66666666666667,44.44444444444444,66.66666666666667,85.71428571428571,71.42857142857143,53.84615384615385,66.25,
66.66666666666667,94.44444444444444,55.0,76.47058823529412,72.72727272727273,43.47826086956522,58.333333333333336,93.33333333333333,81.25,80.0,70.625,
79.16666666666667,83.33333333333333,50.0,42.10526315789474,68.42105263157895,68.75,77.77777777777777,76.47058823529412,100.0,90.9090909090909,73.125,
81.25,90.9090909090909,68.75,63.63636363636363,66.66666666666667,46.666666666666664,95.83333333333333,89.47368421052632,82.3529411764706,62.5,76.25,
82.3529411764706,100.0,75.0,35.294117647058826,73.33333333333333,60.0,81.25,73.6842105263158,73.91304347826087,75.0,72.5,
64.0,100.0,81.81818181818181,61.53846153846154,80.0,20.0,88.23529411764706,76.92307692307692,88.23529411764706,72.22222222222223,75.0,
89.47368421052632,92.3076923076923,87.5,75.0,78.26086956521739,71.42857142857143,100.0,88.23529411764706,81.25,100.0,85.625,
84.61538461538461,87.5,77.27272727272727,78.57142857142857,80.0,91.66666666666667,83.33333333333333,77.27272727272727,86.66666666666667,94.44444444444444,83.75,
81.25,92.3076923076923,86.66666666666667,80.95238095238095,88.23529411764706,73.33333333333333,100.0,78.57142857142857,95.45454545454545,76.92307692307692,85.625,
90.9090909090909,78.57142857142857,80.0,70.37037037037037,92.85714285714286,94.44444444444444,93.75,72.72727272727273,92.3076923076923,93.75,85.0,
85.18518518518519,76.92307692307692,68.18181818181819,50.0,86.66666666666667,80.0,68.42105263157895,92.3076923076923,88.23529411764706,100.0,78.125,
94.11764705882354,92.85714285714286,93.33333333333333,88.23529411764706,71.42857142857143,70.83333333333333,80.0,93.75,93.75,94.11764705882354,86.875,
68.75,94.73684210526316,58.333333333333336,92.3076923076923,73.6842105263158,85.0,93.75,100.0,91.66666666666667,100.0,86.25,
90.0,87.5,76.47058823529412,87.5,88.88888888888889,84.61538461538461,84.61538461538461,70.58823529411765,100.0,92.85714285714286,86.25,
91.66666666666667,90.0,76.92307692307692,66.66666666666667,69.23076923076923,80.0,80.76923076923077,90.9090909090909,86.95652173913044,100.0,83.125,
81.81818181818181,83.33333333333333,83.33333333333333,80.0,85.0,68.42105263157895,92.3076923076923,90.9090909090909,100.0,80.0,83.75,
92.85714285714286,100.0,76.47058823529412,76.19047619047619,100.0,79.16666666666667,100.0,80.0,93.33333333333333,90.0,88.125,
86.66666666666667,85.0,68.75,85.71428571428571,90.0,84.21052631578948,93.33333333333333,100.0,77.77777777777777,76.47058823529412,84.375,
88.88888888888889,100.0,61.53846153846154,100.0,100.0,72.72727272727273,100.0,84.61538461538461,85.0,80.95238095238095,86.25,
78.57142857142857,100.0,85.71428571428571,82.3529411764706,76.47058823529412,75.0,69.23076923076923,100.0,85.0,85.71428571428571,84.375,
93.75,86.66666666666667,78.94736842105263,85.71428571428571,76.19047619047619,75.0,100.0,91.66666666666667,100.0,93.33333333333333,86.875,
93.75,88.88888888888889,92.85714285714286,81.25,84.21052631578948,93.75,86.36363636363636,73.33333333333333,100.0,88.88888888888889,87.5,
100.0,93.33333333333333,81.25,95.0,81.25,90.0,82.3529411764706,100.0,87.5,85.71428571428571,90.0,
87.5,100.0,57.142857142857146,38.46153846153846,55.55555555555556,37.5,83.33333333333333,81.81818181818181,76.47058823529412,62.5,68.125,
50.0,87.5,100.0,52.94117647058823,85.71428571428571,41.666666666666664,85.0,100.0,81.81818181818181,84.61538461538461,78.125,
73.33333333333333,90.9090909090909,85.0,73.6842105263158,100.0,66.66666666666667,61.111111111111114,100.0,94.44444444444444,93.33333333333333,83.75,
75.0,90.0,80.0,85.0,85.71428571428571,66.66666666666667,100.0,100.0,94.11764705882354,100.0,86.875,
83.33333333333333,85.71428571428571,94.11764705882354,75.0,82.3529411764706,78.57142857142857,93.33333333333333,95.0,100.0,94.73684210526316,88.125,
100.0,90.47619047619048,66.66666666666667,68.42105263157895,92.3076923076923,64.70588235294117,94.11764705882354,88.88888888888889,100.0,100.0,85.625,
80.95238095238095,100.0,45.45454545454545,61.53846153846154,84.21052631578948,80.0,84.21052631578948,93.33333333333333,100.0,93.75,83.75,
76.92307692307692,100.0,86.66666666666667,83.33333333333333,85.71428571428571,80.0,100.0,90.9090909090909,91.30434782608695,73.6842105263158,86.25,
73.6842105263158,93.75,66.66666666666667,88.88888888888889,82.3529411764706,78.94736842105263,88.23529411764706,93.33333333333333,84.21052631578948,90.0,84.375,
84.61538461538461,100.0,81.25,53.333333333333336,94.73684210526316,94.73684210526316,83.33333333333333,90.9090909090909,95.0,84.21052631578948,86.25,
77.77777777777777,94.11764705882354,87.5,47.82608695652174,83.33333333333333,53.333333333333336,88.88888888888889,63.63636363636363,82.6086956521739,75.0,75.0,
80.0,100.0,81.25,54.54545454545455,93.75,60.0,93.33333333333333,78.94736842105263,76.19047619047619,95.0,81.25,
66.66666666666667,100.0,85.71428571428571,57.89473684210526,84.21052631578948,42.857142857142854,71.42857142857143,91.66666666666667,86.66666666666667,87.5,78.125,
85.71428571428571,93.33333333333333,55.55555555555556,41.666666666666664,78.94736842105263,66.66666666666667,94.73684210526316,92.3076923076923,85.71428571428571,92.85714285714286,79.375,
92.3076923076923,71.42857142857143,77.77777777777777,86.66666666666667,93.75,66.66666666666667,94.11764705882354,93.75,92.3076923076923,87.5,85.0,
83.33333333333333,100.0,85.71428571428571,69.23076923076923,88.88888888888889,63.1578947368421,100.0,93.33333333333333,85.0,93.33333333333333,85.625,
81.81818181818181,100.0,73.33333333333333,53.84615384615385,94.44444444444444,88.88888888888889,69.23076923076923,72.72727272727273,93.75,90.47619047619048,83.125,
90.0,88.23529411764706,65.0,93.33333333333333,88.88888888888889,100.0,91.30434782608695,85.71428571428571,90.9090909090909,87.5,86.875,
100.0,84.61538461538461,70.58823529411765,77.27272727272727,72.22222222222223,80.95238095238095,81.25,78.57142857142857,88.88888888888889,83.33333333333333,80.625,
86.66666666666667,94.11764705882354,70.0,88.88888888888889,88.88888888888889,81.81818181818181,100.0,83.33333333333333,100.0,85.71428571428571,88.125,
88.23529411764706,93.33333333333333,68.75,78.57142857142857,78.94736842105263,76.92307692307692,75.0,83.33333333333333,100.0,88.88888888888889,83.125,
92.0,93.33333333333333,81.25,92.85714285714286,86.66666666666667,80.0,90.0,90.9090909090909,94.11764705882354,90.9090909090909,89.375,
86.66666666666667,100.0,72.22222222222223,37.5,58.8235294117647,36.8421052631579,77.77777777777777,100.0,61.53846153846154,53.84615384615385,65.0,
76.47058823529412,100.0,53.84615384615385,55.0,91.66666666666667,80.0,73.91304347826087,72.72727272727273,75.0,94.73684210526316,77.5,
61.53846153846154,75.0,78.94736842105263,72.72727272727273,90.0,76.47058823529412,85.71428571428571,94.11764705882354,71.42857142857143,93.33333333333333,80.0,
92.3076923076923,80.0,83.33333333333333,80.0,84.61538461538461,70.58823529411765,90.9090909090909,82.3529411764706,83.33333333333333,82.3529411764706,83.125,
91.30434782608695,92.3076923076923,78.26086956521739,56.25,90.0,61.904761904761905,78.94736842105263,91.66666666666667,100.0,100.0,81.875,
90.47619047619048,100.0,85.71428571428571,70.58823529411765,68.75,64.28571428571429,85.71428571428571,89.47368421052632,66.66666666666667,90.9090909090909,82.5,
91.66666666666667,80.0,75.0,75.0,80.0,88.0,81.81818181818181,83.33333333333333,100.0,85.71428571428571,83.75,
100.0,95.23809523809524,78.57142857142857,80.0,81.81818181818181,78.26086956521739,73.33333333333333,93.33333333333333,100.0,80.0,86.25,
100.0,100.0,68.75,69.56521739130434,50.0,71.42857142857143,86.95652173913044,80.0,81.81818181818181,87.5,79.375,
90.9090909090909,85.71428571428571,81.25,85.71428571428571,87.5,71.42857142857143,93.75,92.3076923076923,71.42857142857143,95.0,86.875,
78.57142857142857,86.66666666666667,75.0,50.0,62.5,35.714285714285715,77.77777777777777,84.61538461538461,44.44444444444444,60.0,66.25,
65.0,93.33333333333333,86.66666666666667,53.333333333333336,87.5,42.857142857142854,76.47058823529412,90.9090909090909,60.0,85.0,73.125,
82.3529411764706,94.44444444444444,85.71428571428571,55.55555555555556,92.3076923076923,68.75,80.0,66.66666666666667,83.33333333333333,100.0,80.0,
72.0,100.0,68.42105263157895,82.3529411764706,100.0,68.75,81.25,92.3076923076923,90.9090909090909,90.0,82.5,
80.0,94.44444444444444,55.55555555555556,73.33333333333333,92.85714285714286,56.25,85.71428571428571,78.57142857142857,76.92307692307692,85.0,79.375,
85.0,100.0,89.47368421052632,81.81818181818181,90.47619047619048,92.85714285714286,88.88888888888889,84.61538461538461,100.0,84.21052631578948,89.375,
92.85714285714286,72.72727272727273,70.58823529411765,77.27272727272727,78.94736842105263,87.5,100.0,100.0,100.0,100.0,87.5,
75.0,88.23529411764706,76.47058823529412,58.8235294117647,76.92307692307692,66.66666666666667,100.0,87.5,94.73684210526316,90.0,82.5,
96.42857142857143,100.0,100.0,66.66666666666667,80.0,82.3529411764706,94.11764705882354,88.88888888888889,85.71428571428571,84.61538461538461,88.75,
100.0,100.0,73.6842105263158,60.0,92.3076923076923,90.47619047619048,94.44444444444444,91.66666666666667,90.9090909090909,91.66666666666667,89.375,
88.23529411764706,93.75,76.92307692307692,87.5,75.0,70.58823529411765,100.0,100.0,87.5,78.57142857142857,85.625,
